Week no.,WK 27,,,3,4,5,8,,10,,12,,14,,16,,18,,20,20,35,36,37,,,,,,,,,,,,,Contribution Report,,,,,,,,CASES ORDERED,,,,,,,,,
Customer code,Product Code,Plans Index Code,Product Description,Customer,USE BY:,,Saturday,,Sunday,,Monday,,Tuesday,,Wednesday,,Thursday,,Friday,,,,,,,,,ORDER CROSS-CHECK,,,,,,,,,,,FRIDGE SHEETS UP-TO-DATE?,,,,,,Saturday,Sunday,Monday,Tuesday,Wednesday,Thursday,Friday,,
,,,,,,,30/03/19,,31/03/19,,01/04/19,,02/04/19,,03/04/19,,04/04/19,,05/04/19,,,,,LAST WEEK ACTUAL,W/E ACTUAL TOTAL ,Steve D. F/C,Total Cases,30/03/19,31/03/19,01/04/19,02/04/19,03/04/19,04/04/19,05/04/19,,05/04/2019,,,FRI D,FRI N,FRI THU,FRI FRI,,Case Size,30/03/19,31/03/19,01/04/19,02/04/19,03/04/19,04/04/19,05/04/19,Total,
0,,,,,,,Units,,Units,,Units,,Units,,Units,,Units,,Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
,,,,,,,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,F/C,Actual,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAIN,28-Mar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ASDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOT EAT,21762,BP,BP Bacon Baguette x4,BP,P+7,Alternative,979,952,1136,1076,901,800,977,900,990,968,1016,960,1208,1192,,,,6984,6848,6840,1712,952,1076,800,900,968,960,1192,,0,,,,,,,,4,238,269,200,225,242,240,298,1712,OK
HOT EAT,21767,BP,BP Ham & Cheese Toastie x4,BP,P+7,Alternative,829,804,951,920,768,720,888,860,859,840,866,812,1023,1080,,,,6184,6036,6153,1509,804,920,720,860,840,812,1080,,0,,,,,,,,4,201,230,180,215,210,203,270,1509,OK
COLD EAT,22796,BP,BP Breakfast Triple Skillet x4,BP,P+3,Alternative,195,200,178,176,218,228,181,188,151,140,183,204,144,144,,,,1308,1280,1282,320,200,176,228,188,140,204,144,,0,,,,,MISSING,MISSING,,4,50,44,57,47,35,51,36,320,OK
HOT EAT,22799,BP,BP Ultimate Three Cheese Toastie x4,BP,P+7,Alternative,857,832,957,860,788,720,856,832,833,812,875,840,958,1100,,,,5856,5996,5857,1499,832,860,720,832,812,840,1100,,0,,,,,MISSING,MISSING,,4,208,215,180,208,203,210,275,1499,OK
HOT EAT,23364,BP,BP Steak & Onion Baguette,BP,P+7,Alternative,568,552,616,608,462,440,537,400,516,496,523,560,597,664,,,,3788,3720,3708,930,552,608,440,400,496,560,664,,0,,,,,MISSING,MISSING,,4,138,152,110,100,124,140,166,930,OK
HOT EAT,23840,BP,BP Classic Cheese & Ham Barmarked Toastie x4,BP,P+7,Alternative,590,584,673,556,551,564,624,612,585,556,649,576,696,760,,,,4236,4208,4209,1052,584,556,564,612,556,576,760,,0,,,,,MISSING,MISSING,,4,146,139,141,153,139,144,190,1052,OK
HOT EAT,23841,BP,BP Hunters Chicken & Bacon Baguette,BP,P+7,Alternative,331,560,392,576,282,400,362,500,497,544,549,504,599,632,,,,3736,3716,3758,929,560,576,400,500,544,504,632,,0,,,,,MISSING,MISSING,,4,140,144,100,125,136,126,158,929,OK
HOT EAT,23842,BP,BP Italian Style Meatball and Mozzarella Wrap x4,BP,P+7,Alternative,579,320,607,384,529,220,630,380,333,316,325,308,399,440,,,,2412,2368,2344,592,320,384,220,380,316,308,440,,0,,,,,MISSING,MISSING,,4,80,96,55,95,79,77,110,592,OK
HOT EAT,23843,BP,BP Chicken & Chorizo Toastie x4,BP,P+7,Alternative,564,572,584,540,496,464,539,568,508,492,579,540,706,800,,,,3880,3976,3911,994,572,540,464,568,492,540,800,,0,,,,,MISSING,MISSING,,4,143,135,116,142,123,135,200,994,OK
SAL/HOT HOLD,23699,BP,"BP Cucumber, mooned and half slices (M4449) 1KG Tubs",BP,,Alternative,2,2,2,3,2,1,2,2,2,1,2,2,2,1,,,,13,12,13,2,2,3,1,2,1,2,1,,0,,,,,MISSING,MISSING,,5,0,1,0,0,0,0,0,2,OK
